tblUploadID,tblSightingsID,SightingID,SurveyID,EffortID,DuplicateSightingStatus,DuplicateSightingNumber,PlatformInstance,Latitude,Longitude,AphiaID,IdentificationConfidence,Cue,SurveyTeam,MinGroupSize,BestGroupSize,MaxGroupSize,NumberOfCalves,SightingStatus,SightingDemographics,SightingDirection,SightingAngle,RadialDistance,PerpendicularDistance,Behaviour1,Behaviour2,Behaviour3,Comments
722,60014,1893,SCANSII Block B Aerial,B17/07_00383/489345                               ,N,,1,51.94233,3.64981,137117,NR,BU,NR,1,1,1,,A,,S,75,,,119,124,124,Return to effort.
722,59610,2024,SCANSII Block B Aerial,A02/08_00405/510008                               ,N,,1,48.99488,-3.08505,137094,NR,BU,NR,15,15,15,,A,,S,85,,,119,124,124,Condictions change. mini 15
722,60021,2080,SCANSII Block O Aerial,B23/07_00402/522854                               ,N,,1,52.10459,-5.55155,137087,NR,BU,NR,1,1,1,,A,,S,30,,,119,124,124,Condictions change. off eff. circle for identification
722,59775,974,SCANSII Block M Aerial,B02/07_00295/531092                               ,N,,1,59.31979,4.77992,137117,NR,BU,NR,1,1,1,,A,,S,75,,,119,124,124,Condictions change. no circle; dead time
722,59551,1884,SCANSII Block B Aerial,A02/08_00400/507215                               ,N,,1,49.86473,-5.4122,137117,NR,BU,NR,3,3,3,,A,,S,44,,,119,124,124,Return to effort.
611,32685,O02/09/H17/07_00051/S117749,SCANSIII Block O Aerial,O02/09/H17/07_00051/117749                        ,N,,1,53.72678,1.55313,137117,NR,BF,O4,1,1,,0,A,,S,78,,38.89785  ,128,124,124,with fishball
718,58827,L02/06/H04/07_00028/S106828,SCANSIII Block L Aerial,L02/06/H04/07_00028/106828                        ,N,,1,51.78502,3.07992,137117,NR,BU,O4,2,2,,0,A,,S,57,,118.84159 ,124,124,124,feed
721,59488,A02/28/M10/07_00057/S267439,SCANSIII Block A Aerial,A02/28/M10/07_00057/267439                        ,N,,1,42.26387,-9.14132,137094,NR,BF,NR,20,20,,0,A,,S,28,,344.17294 ,128,124,124,
722,59614,1367,SCANSII Block R Aerial,A11/07_00359/551829                               ,N,,1,51.65886,-7.79588,137087,NR,BF,NR,2,2,2,,A,,S,33,,,128,124,124,Effort beginning. with gannets
718,58713,L01/04/K28/07_00085/S247266,SCANSIII Block L Aerial,L01/04/K28/07_00085/247266                        ,N,,1,51.91868,1.94265,148736,NR,BF,NR,1,1,,0,A,,S,25,,392.44477 ,128,124,124,FEEDING WITH BIRDS
